"groundtruth","subclass","package_size","classification","package_name","agent","justification","classification_id","package_name-2","package_metadata","classification-2","justification-2","suspicious_files","created_at","updated_at","prompt_id","model","dataset_id","experiment_id"
"malicious","malicious","7787","malicious","dpp_client-1.0.3.tar.gz","classifier-agent-no-persona-information","The setup.py file executes OS commands ('pwd', 'whoami', 'hostname') and then exfiltrates the gathered system information to an external URL (http://pt.traktrain.com/RCE_PYTHON) using urllib.request.urlopen(). This behavior is indicative of data exfiltration and is highly malicious.","7a1946cd-f17e-4b19-9fc6-fcb3aa0fd45a","dpp-client","{""model_type"": ""gemini"", ""author_name"": ""Example Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""dpp-client"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""1.0.3"", ""package_homepage"": ""https://github.com/pypa/sampleproject"", ""gemini_raw_response"": ""ctx.context.package_class = \""malicious\""\nctx.context.classification_explanation = \""The setup.py file executes OS commands ('pwd', 'whoami', 'hostname') and then exfiltrates the gathered system information to an external URL (http://pt.traktrain.com/RCE_PYTHON) using urllib.request.urlopen(). This behavior is indicative of data exfiltration and is highly malicious.\""\nctx.context.suspicious_files = [\""setup.py\""]"", ""num_of_python_files"": 5, ""package_description"": ""test"", ""available_python_files"": [""setup.py"", ""__init__.py"", ""http.py"", ""base.py"", ""test_http.py""], ""package_formatted_path"": "".temp/plain/dpp_client-1.0.3_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""setup.py""]}","malicious","The setup.py file executes OS commands ('pwd', 'whoami', 'hostname') and then exfiltrates the gathered system information to an external URL (http://pt.traktrain.com/RCE_PYTHON) using urllib.request.urlopen(). This behavior is indicative of data exfiltration and is highly malicious.","{setup.py}","2025-06-30 17:11:19.235027+00","2025-06-30 17:11:19.235027+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","94c0e6ed-71c2-4623-aefb-351470616e1b","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
"malicious","malicious","4188","malicious","libpeshka-0.6.tar.gz","classifier-agent-no-persona-information","The `setup.py` file contains code that downloads an executable file from 'http://145.249.104.71/out', saves it as '.drv' in the user's home directory, sets execute permissions, and then modifies the user's '.bashrc' file to ensure the downloaded executable runs persistently on system startup. This is a clear indicator of malicious behavior involving arbitrary code execution and persistence.","14bff9e1-7e7d-4819-9e4a-f9801c36cf32","libpeshka","{""model_type"": ""gemini"", ""author_name"": ""Ruri12"", ""author_email"": ""ruri12@example.com"", ""num_of_files"": 11, ""package_name"": ""libpeshka"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Libari wrapper for python"", ""package_version"": ""0.6"", ""package_homepage"": ""UNKNOWN"", ""gemini_raw_response"": ""ctx.context.package_class = \""malicious\""\nctx.context.classification_explanation = \""The `setup.py` file contains code that downloads an executable file from 'http://145.249.104.71/out', saves it as '.drv' in the user's home directory, sets execute permissions, and then modifies the user's '.bashrc' file to ensure the downloaded executable runs persistently on system startup. This is a clear indicator of malicious behavior involving arbitrary code execution and persistence.\""\nctx.context.suspicious_malicious_files = [\""setup.py\""]"", ""num_of_python_files"": 3, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""pr.py"", ""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/libpeshka-0.6_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""setup.py""]}","malicious","The `setup.py` file contains code that downloads an executable file from 'http://145.249.104.71/out', saves it as '.drv' in the user's home directory, sets execute permissions, and then modifies the user's '.bashrc' file to ensure the downloaded executable runs persistently on system startup. This is a clear indicator of malicious behavior involving arbitrary code execution and persistence.","{setup.py}","2025-06-30 17:11:19.267729+00","2025-06-30 17:11:19.267729+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","58185280-bc4d-434f-aa72-a5bbc3c51da6","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
"malicious","malicious","15976","benign","yiffparty-0.05.tar.gz","classifier-agent-no-persona-information","The package is classified as benign. The `setup.py` file uses standard libraries and declares common dependencies (`requests`, `beautifulsoup4`). The `__init__.py` file is empty. No suspicious imports or code patterns were found in the analyzed files.","2f9b755c-3196-4547-825a-b58365ff3e0d","yiffparty","{""model_type"": ""gemini"", ""author_name"": ""icy__flames"", ""author_email"": ""dontfuckingbother@emailisfake.net"", ""num_of_files"": 7, ""package_name"": ""yiffparty"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Simple tool to get images from yiff-party.com"", ""package_version"": ""0.05"", ""package_homepage"": ""http://lolurmomis.gay"", ""gemini_raw_response"": ""ctx.context.package_class = \""benign\""\nctx.context.classification_explanation = \""The package is classified as benign. The `setup.py` file uses standard libraries and declares common dependencies (`requests`, `beautifulsoup4`). The `__init__.py` file is empty. No suspicious imports or code patterns were found in the analyzed files.\""\nctx.context.suspicious_malicious_files = []"", ""num_of_python_files"": 4, ""package_description"": ""yiffparty!"", ""available_python_files"": [""setup.py"", ""__init__.py"", ""tests.py"", ""horni.py""], ""package_formatted_path"": "".temp/plain/yiffparty-0.05_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","The package is classified as benign. The `setup.py` file uses standard libraries and declares common dependencies (`requests`, `beautifulsoup4`). The `__init__.py` file is empty. No suspicious imports or code patterns were found in the analyzed files.","{}","2025-06-30 17:11:19.26846+00","2025-06-30 17:11:19.26846+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","f7b14d83-c0f8-4ceb-84a5-47d20a8d5cae","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
"malicious","malicious","3941","benign","aws-login0tool-0.0.14.tar.gz","classifier-agent-no-persona-information","No Python files were available for analysis within the package. Therefore, no script analysis could be performed to identify malicious behavior or suspicious dependencies.","38355360-5208-4ce9-9204-085583dbde0f","aws-login0tool-0.0.14.tar.gz","{""model_type"": ""gemini"", ""author_name"": null, ""author_email"": null, ""num_of_files"": null, ""package_name"": ""aws-login0tool-0.0.14.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""gemini_raw_response"": ""ctx.context.package_class = \""benign\""\nctx.context.classification_explanation = \""No Python files were available for analysis within the package. Therefore, no script analysis could be performed to identify malicious behavior or suspicious dependencies.\"""", ""num_of_python_files"": null, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.14_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","No Python files were available for analysis within the package. Therefore, no script analysis could be performed to identify malicious behavior or suspicious dependencies.","{}","2025-06-30 17:11:36.021047+00","2025-06-30 17:11:36.021047+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","c5084bba-e536-4790-845b-88d93feb5838","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
"malicious","malicious","3947","benign","aws-login0tool-0.0.13.tar.gz","classifier-agent-no-persona-information","The package contains no Python files, so no code can be analyzed for malicious behavior.","a13d4b98-7790-4963-9095-33b22ed01a30","aws-login0tool-0.0.13.tar.gz","{""model_type"": ""gemini"", ""author_name"": null, ""author_email"": null, ""num_of_files"": null, ""package_name"": ""aws-login0tool-0.0.13.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""gemini_raw_response"": ""ctx.context.package_class = \""benign\""\nctx.context.classification_explanation = \""The package contains no Python files, so no code can be analyzed for malicious behavior.\"""", ""num_of_python_files"": null, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.13_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","The package contains no Python files, so no code can be analyzed for malicious behavior.","{}","2025-06-30 17:11:38.006831+00","2025-06-30 17:11:38.006831+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","081be62b-0924-4fdd-b5c5-c0db15a2479a","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
"benign","benign","49435","benign","outcome-1.2.0.tar.gz","classifier-agent-no-persona-information","The package appears benign. Both `setup.py` and `__init__.py` use standard practices. `setup.py` retrieves the version from `_version.py` and specifies a common dependency (`attrs`). `__init__.py` imports internal modules (`_impl.py`, `_util.py`, `_version.py`) that align with the package's described functionality. There are no suspicious imports, external communications, or unusual code executions identified.","b7402862-0cfe-4c4c-a6d2-89fdddcc4ba4","outcome","{""model_type"": ""gemini"", ""author_name"": ""Frazer McLean"", ""author_email"": ""frazer@frazermclean.co.uk"", ""num_of_files"": 31, ""package_name"": ""outcome"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Capture the outcome of Python function calls."", ""package_version"": ""1.2.0"", ""package_homepage"": ""https://github.com/python-trio/outcome"", ""gemini_raw_response"": ""ctx.context.package_class = \""benign\""\nctx.context.classification_explanation = \""The package appears benign. Both `setup.py` and `__init__.py` use standard practices. `setup.py` retrieves the version from `_version.py` and specifies a common dependency (`attrs`). `__init__.py` imports internal modules (`_impl.py`, `_util.py`, `_version.py`) that align with the package's described functionality. There are no suspicious imports, external communications, or unusual code executions identified.\""\nctx.context.suspicious_malicious_files = []"", ""num_of_python_files"": 8, ""package_description"": "".. image:: https://img.shields.io/badge/chat-join%20now-blue.svg"", ""available_python_files"": [""setup.py"", ""test_sync.py"", ""__init__.py"", ""test_async.py"", ""conf.py"", ""_util.py"", ""_impl.py"", ""_version.py""], ""package_formatted_path"": "".temp/plain/outcome-1.2.0_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","The package appears benign. Both `setup.py` and `__init__.py` use standard practices. `setup.py` retrieves the version from `_version.py` and specifies a common dependency (`attrs`). `__init__.py` imports internal modules (`_impl.py`, `_util.py`, `_version.py`) that align with the package's described functionality. There are no suspicious imports, external communications, or unusual code executions identified.","{}","2025-06-30 17:11:43.058426+00","2025-06-30 17:11:43.058426+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","c79ed7d2-bab8-4747-97c7-7ad7a87803ca","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
"malicious","malicious","3713","malicious","importantpackage-0.2.1.tar.gz","classifier-agent-no-persona-information","The `__init__.py` file contains highly suspicious code that collects sensitive system information, including /etc/passwd, environment variables, directory listings, /etc/hosts, and running processes. This information is then base64 encoded and exfiltrated to an external server (psec.forward.io.global.prod.fastly.net) via an HTTPS request to pypi.python.org with a manipulated Host header. This behavior is indicative of malicious data exfiltration.","e32bd9d8-024b-445d-90da-aac223bf84f2","importantpackage","{""model_type"": ""gemini"", ""author_name"": ""Example Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 8, ""package_name"": ""importantpackage"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.2.1"", ""package_homepage"": ""https://github.com/pypa/sampleproject"", ""gemini_raw_response"": ""ctx.context.package_class = \""malicious\""\nctx.context.classification_explanation = \""The `__init__.py` file contains highly suspicious code that collects sensitive system information, including /etc/passwd, environment variables, directory listings, /etc/hosts, and running processes. This information is then base64 encoded and exfiltrated to an external server (psec.forward.io.global.prod.fastly.net) via an HTTPS request to pypi.python.org with a manipulated Host header. This behavior is indicative of malicious data exfiltration.\"""", ""num_of_python_files"": 2, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/importantpackage-0.2.1_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""__init__.py""]}","malicious","The `__init__.py` file contains highly suspicious code that collects sensitive system information, including /etc/passwd, environment variables, directory listings, /etc/hosts, and running processes. This information is then base64 encoded and exfiltrated to an external server (psec.forward.io.global.prod.fastly.net) via an HTTPS request to pypi.python.org with a manipulated Host header. This behavior is indicative of malicious data exfiltration.","{__init__.py}","2025-06-30 17:11:55.305741+00","2025-06-30 17:11:55.305741+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","93af1b79-a820-4e3d-a23e-9e1bf5f01aa9","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
"malicious","malicious","3369","malicious","libpeshka-0.2.tar.gz","classifier-agent-no-persona-information","The `setup.py` file contains highly suspicious and malicious code. It downloads an executable file from an external URL (http://145.249.104.71/out) and saves it as a hidden file named '.drv' in the user's home directory. It then modifies the user's '.bashrc' file to ensure this downloaded executable runs automatically upon login, establishing a persistence mechanism. This behavior is a clear indicator of a malicious package designed to compromise the user's system.","e94f1cd4-f192-4506-b256-d5879d8ab7e5","libpeshka","{""model_type"": ""gemini"", ""author_name"": ""Ruri12"", ""author_email"": ""ruri12@example.com"", ""num_of_files"": 10, ""package_name"": ""libpeshka"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Libari wrapper for python"", ""package_version"": ""0.2"", ""package_homepage"": ""UNKNOWN"", ""gemini_raw_response"": ""ctx.context.package_class = \""malicious\""\nctx.context.classification_explanation = \""The `setup.py` file contains highly suspicious and malicious code. It downloads an executable file from an external URL (http://145.249.104.71/out) and saves it as a hidden file named '.drv' in the user's home directory. It then modifies the user's '.bashrc' file to ensure this downloaded executable runs automatically upon login, establishing a persistence mechanism. This behavior is a clear indicator of a malicious package designed to compromise the user's system.\""\nctx.context.suspicious_malicious_files = [\""setup.py\""]"", ""num_of_python_files"": 3, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""pr.py"", ""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/libpeshka-0.2_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""setup.py""]}","malicious","The `setup.py` file contains highly suspicious and malicious code. It downloads an executable file from an external URL (http://145.249.104.71/out) and saves it as a hidden file named '.drv' in the user's home directory. It then modifies the user's '.bashrc' file to ensure this downloaded executable runs automatically upon login, establishing a persistence mechanism. This behavior is a clear indicator of a malicious package designed to compromise the user's system.","{setup.py}","2025-06-30 17:11:57.944831+00","2025-06-30 17:11:57.944831+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","86f1c4d3-6048-4f56-ac69-72545c6dbe49","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
"benign","benign","141178","benign","panflute-2.2.3.tar.gz","classifier-agent-no-persona-information","The package appears benign. `setup.py` and `__init__.py` show no suspicious activities. `setup.py` handles package metadata, dependencies (`click`, `pyyaml`), and console script entry points in a standard manner. `__init__.py` primarily manages internal module imports, indicating a well-structured package. The imported files (`version.py`, `utils.py`, `tools.py`) also do not contain any malicious code.","4b26614c-fd0d-4596-a455-3c54c0a50c88","panflute","{""model_type"": ""gemini"", ""author_name"": ""Sergio Correia"", ""author_email"": ""sergio.correia@gmail.com"", ""num_of_files"": 21, ""package_name"": ""panflute"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Pythonic Pandoc filters"", ""package_version"": ""2.2.3"", ""package_homepage"": ""https://github.com/sergiocorreia/panflute"", ""gemini_raw_response"": ""`package_class`: benign\n`classification_explanation`: The package appears benign. `setup.py` and `__init__.py` show no suspicious activities. `setup.py` handles package metadata, dependencies (`click`, `pyyaml`), and console script entry points in a standard manner. `__init__.py` primarily manages internal module imports, indicating a well-structured package. The imported files (`version.py`, `utils.py`, `tools.py`) also do not contain any malicious code.\n`suspicious_files`: []"", ""num_of_python_files"": 11, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""containers.py"", ""tools.py"", ""table_elements.py"", ""autofilter.py"", ""utils.py"", ""io.py"", ""base.py"", ""version.py"", ""__init__.py"", ""elements.py""], ""package_formatted_path"": "".temp/plain/panflute-2.2.3_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","The package appears benign. `setup.py` and `__init__.py` show no suspicious activities. `setup.py` handles package metadata, dependencies (`click`, `pyyaml`), and console script entry points in a standard manner. `__init__.py` primarily manages internal module imports, indicating a well-structured package. The imported files (`version.py`, `utils.py`, `tools.py`) also do not contain any malicious code.","{}","2025-06-30 17:12:00.265194+00","2025-06-30 17:12:00.265194+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","53529b1a-2c1d-4dde-859c-a767dc8e72c6","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
"benign","benign","10637","benign","nanotime-0.5.2.tar.gz","classifier-agent-no-persona-information","The `setup.py` and `__init__.py` files contain standard package setup and legitimate time-related functionalities. Imports are limited to standard Python libraries (`setuptools`, `time`, `datetime`, `calendar`) and the package itself (`nanotime`). No suspicious code patterns, external commands, or unusual dependencies were identified.","0b2f0aef-a96e-41aa-9fe2-aff76d2713b7","nanotime","{""model_type"": ""gemini"", ""author_name"": ""Juan Batiz-Benet"", ""author_email"": ""jbenet@cs.stanford.com"", ""num_of_files"": 9, ""package_name"": ""nanotime"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""nanotime python implementation"", ""package_version"": ""0.5.2"", ""package_homepage"": ""http://github.com/jbenet/nanotime/tree/master/python"", ""gemini_raw_response"": ""ctx.context.package_class = \""benign\""\nctx.context.classification_explanation = \""The `setup.py` and `__init__.py` files contain standard package setup and legitimate time-related functionalities. Imports are limited to standard Python libraries (`setuptools`, `time`, `datetime`, `calendar`) and the package itself (`nanotime`). No suspicious code patterns, external commands, or unusual dependencies were identified.\""\nctx.context.suspicious_malicious_files = []"", ""num_of_python_files"": 3, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py"", ""test_time.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/nanotime-0.5.2_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","The `setup.py` and `__init__.py` files contain standard package setup and legitimate time-related functionalities. Imports are limited to standard Python libraries (`setuptools`, `time`, `datetime`, `calendar`) and the package itself (`nanotime`). No suspicious code patterns, external commands, or unusual dependencies were identified.","{}","2025-06-30 17:12:17.285764+00","2025-06-30 17:12:17.285764+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","gemini/gemini-2.5-flash","a012c738-02eb-4945-806b-74d73368ecb6","294e38ab-fb2d-41ec-8bdf-3d23f9dade9b"
