groundtruth,subclass,package_size,classification,package_name,agent,justification,classification_id,package_name-2,package_metadata,suspicious_files,created_at,updated_at,prompt_id,model,dataset_id,experiment_id,version
malicious,malicious,1231,malicious,10Cent10-999.0.4.tar.gz,mampd-classification agent,"The setup.py script implements a CustomInstall class that creates a reverse shell connection to a remote IP address (104.248.19.57) upon installation. Such behavior is indicative of a package intended for exfiltration and unauthorized access, classifying it as malicious.",3ec47bb4-706f-497f-acae-77f6464a37fc,10Cent10,"{""model_type"": ""gemini"", ""author_name"": ""j0j0"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 7, ""package_name"": ""10Cent10"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Exfiltration"", ""package_version"": ""999.0.4"", ""package_homepage"": ""UNKNOWN"", ""gemini_parse_error"": ""Invalid final_output content"", ""gemini_raw_response"": ""classification=<Classification.malicious: 'malicious'> justification='The setup.py script implements a CustomInstall class that creates a reverse shell connection to a remote IP address (104.248.19.57) upon installation. Such behavior is indicative of a package intended for exfiltration and unauthorized access, classifying it as malicious.' suspicious_files=['setup.py']"", ""num_of_python_files"": 1, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py""], ""package_formatted_path"": "".temp/plain/10Cent10-999.0.4_dump.json"", ""gemini_parsed_classification"": null, ""gemini_parsed_suspicious_files"": null}",{setup.py},2025-07-01 19:48:51.105314+00,2025-07-01 19:48:51.105314+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,f1aa9e30-28a9-4d38-8d72-4ca55dabc8b6,0bffa6fe-80b8-4f69-9769-c3fcb0169065,999.0.4
malicious,malicious,1231,malicious,10Cent11-999.0.4.tar.gz,mampd-classification agent,"The package contains a setup script that establishes a socket connection to an external IP address (104.248.19.57) and redirects the input/output streams to that connection, effectively creating a backdoor. This behavior is indicative of malicious software designed for exfiltration or unauthorized access",ff083685-4d8e-4d09-b870-eee4d30798bf,10Cent11,"{""model_type"": ""gemini"", ""author_name"": ""j0j0"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 7, ""package_name"": ""10Cent11"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Exfiltration"", ""package_version"": ""999.0.4"", ""package_homepage"": ""UNKNOWN"", ""gemini_parse_error"": ""Invalid final_output content"", ""gemini_raw_response"": ""classification=<Classification.malicious: 'malicious'> justification='The package contains a setup script that establishes a socket connection to an external IP address (104.248.19.57) and redirects the input/output streams to that connection, effectively creating a backdoor. This behavior is indicative of malicious software designed for exfiltration or unauthorized access.' suspicious_files=['setup.py']"", ""num_of_python_files"": 1, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py""], ""package_formatted_path"": "".temp/plain/10Cent11-999.0.4_dump.json"", ""gemini_parsed_classification"": null, ""gemini_parsed_suspicious_files"": null}",{setup.py},2025-07-01 19:28:19.785973+00,2025-07-01 19:28:19.785973+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,40fba763-ac6a-489a-9e12-f77dcaaa781f,0bffa6fe-80b8-4f69-9769-c3fcb0169065,999.0.4
malicious,malicious,3228,malicious,AadhaarCrypt-1.0.tar.gz,mampd-classification agent,"The package AadhaarCrypt-1.0 includes code that collects sensitive information such as hostname and username, encodes it in Base64, and sends it to external domains using HTTP requests. The use of hardcoded domains (sub.deliverycontent.online and www.deliverycontent.online) for data transmission is characteristic of data exfiltration, portraying the package as malicious. The inclusion and functionality of the code indicate a strong risk to user privacy and security, implying it is designed to perform unauthorized operations.",cc23bf8a-7f43-4560-8e89-4ee478ba3f1e,AadhaarCrypt,"{""author_name"": ""UNKNOWN"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 7, ""package_name"": ""AadhaarCrypt"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""UNKNOWN"", ""package_version"": ""1.0"", ""package_homepage"": ""UNKNOWN"", ""num_of_python_files"": 2, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/AadhaarCrypt-1.0_dump.json""}",{__init__.py},2025-06-28 10:31:35.969607+00,2025-06-28 10:31:35.969607+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,e606afef-fc26-42a7-a54a-e9cf11ac6e10,0bffa6fe-80b8-4f69-9769-c3fcb0169065,1
benign,benign,82844,benign,Adafruit_PureIO-1.1.9.tar.gz,mampd-classification agent,"The package 'Adafruit-PureIO' is developed by Adafruit Industries, a recognized and reputable organization known for creating open-source hardware and software. The package's purpose is to provide pure Python access to Linux IO, including I2C and SPI, which is typical functionality for interfacing with hardware. The absence of suspicious or malicious files and the lack of any imports or functions that might indicate harmful behavior further support its classification as benign.",5ffc70bf-8b5b-4d41-a9c3-8faa7d9fe5a4,Adafruit-PureIO,"{""author_name"": ""Adafruit Industries"", ""author_email"": ""circuitpython@adafruit.com"", ""num_of_files"": 24, ""package_name"": ""Adafruit-PureIO"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Pure python (i.e. no native extensions) access to Linux IO    including I2C and SPI. Drop in replacement for smbus and spidev modules."", ""package_version"": ""1.1.9"", ""package_homepage"": ""https://github.com/adafruit/Adafruit_Python_PureIO"", ""num_of_python_files"": 6, ""package_description"": """", ""available_python_files"": [""setup.py"", ""spi.py"", ""smbus.py"", ""__init__.py"", ""test_I2C.py"", ""conf.py""], ""package_formatted_path"": "".temp/plain/Adafruit_PureIO-1.1.9_dump.json""}",{},2025-06-28 10:33:34.836633+00,2025-06-28 10:33:34.836633+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,b69932a5-aaac-4c71-9b60-a65133f1d59d,0bffa6fe-80b8-4f69-9769-c3fcb0169065,1.1.9
benign,benign,95229,benign,aioconsole-0.5.0.tar.gz,mampd-classification agent,"The package 'aioconsole' appears to be a legitimate tool for asynchronous console operations in Python, with a clear author and description. There are no suspicious files or malicious behaviors detected in the metadata, and it is actively hosted on GitHub.",4e4d741e-4854-4634-b0a6-42002f20bf1f,aioconsole,"{""author_name"": ""Vincent Michel"", ""author_email"": ""vxgmichel@gmail.com"", ""num_of_files"": 20, ""package_name"": ""aioconsole"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Asynchronous console and interfaces for asyncio"", ""package_version"": ""0.5.0"", ""package_homepage"": ""https://github.com/vxgmichel/aioconsole"", ""num_of_python_files"": 12, ""package_description"": ""aioconsole"", ""available_python_files"": [""setup.py"", ""compat.py"", ""__main__.py"", ""stream.py"", ""apython.py"", ""command.py"", ""server.py"", ""execute.py"", ""events.py"", ""__init__.py"", ""rlwrap.py"", ""console.py""], ""package_formatted_path"": "".temp/plain/aioconsole-0.5.0_dump.json""}",{},2025-06-28 09:56:48.305884+00,2025-06-28 09:56:48.305884+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,c6ae0002-e53b-47b9-84cb-bfe2eb770e99,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.5.0
benign,benign,64936,benign,amundsen-common-0.27.1.tar.gz,mampd-classification agent,"The package 'amundsen-common' appears to be a common code library for Amundsen, a project aimed at improving data discovery and governance. The absence of any suspicious or malicious files, along with no imported libraries or function definitions detected, suggests that the package does not contain harmful elements. Additionally, the project has a valid GitHub homepage, which indicates an active development community and support.",8d0af59c-09b1-46ff-a06c-8ad796a57d51,amundsen-common,"{""author_name"": ""NA"", ""author_email"": ""NA"", ""num_of_files"": 33, ""package_name"": ""amundsen-common"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Common code library for Amundsen"", ""package_version"": ""0.27.1"", ""package_homepage"": ""https://github.com/amundsen-io/amundsen/tree/main/common"", ""num_of_python_files"": 23, ""package_description"": ""# Amundsen Common"", ""available_python_files"": [""setup.py"", ""__init__.py"", ""action_log_model.py"", ""caller_retrieval.py"", ""action_log.py"", ""auth_caller_retrieval.py"", ""http_header_caller_retrieval.py"", ""action_log_callback.py"", ""fixtures.py"", ""resource_type.py"", ""atlas.py"", ""badge.py"", ""popular_table.py"", ""table.py"", ""index_map.py"", ""user.py"", ""feature.py"", ""search.py"", ""dashboard.py"", ""lineage.py"", ""generation_code.py"", ""tag.py"", ""health_check.py""], ""package_formatted_path"": "".temp/plain/amundsen-common-0.27.1_dump.json""}",{},2025-06-28 10:31:58.256466+00,2025-06-28 10:31:58.256466+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,da492d0c-132a-438e-9ee4-9491dbc29177,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.27.1
benign,benign,41274,benign,apispec-webframeworks-0.5.2.tar.gz,mampd-classification agent,"The package 'apispec-webframeworks' is a known package for web framework plugins that depends on established libraries such as tornado, bottle, and flask. The presence of setup, utility, and test files, along with standard libraries used for web development and testing, indicate that this package is likely not malicious. There are no indicators of harmful behavior in the imported libraries or the nature of the files contained within the package.",dc58cafc-4b2f-4b2b-a6d0-2c7af85b536c,apispec-webframeworks,"{""author_name"": ""Steven Loria"", ""author_email"": ""sloria1@gmail.com"", ""num_of_files"": 17, ""package_name"": ""apispec-webframeworks"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Web framework plugins for apispec."", ""package_version"": ""0.5.2"", ""package_homepage"": ""https://github.com/marshmallow-code/apispec-webframeworks"", ""num_of_python_files"": 9, ""package_description"": ""*********************"", ""available_python_files"": [""setup.py"", ""tornado.py"", ""bottle.py"", ""__init__.py"", ""flask.py"", ""test_ext_bottle.py"", ""test_ext_flask.py"", ""utils.py"", ""test_ext_tornado.py""], ""package_formatted_path"": "".temp/plain/apispec-webframeworks-0.5.2_dump.json""}",{},2025-06-28 13:36:18.08021+00,2025-06-28 13:36:18.08021+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,85e2ee8b-df5b-4963-9af9-56c913186f23,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.5.2
malicious,malicious,3248,malicious,apple-py-music-1.0.tar.gz,mampd-classification agent,"The package contains suspicious code that collects sensitive information such as the hostname, username, and current execution path, which is then encoded and sent to external domains. It also makes repeated HTTP requests and pings to potentially malicious domains.",d3a79a21-0dc1-4670-bc96-70378609c38e,apple-py-music,"{""author_name"": ""UNKNOWN"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 7, ""package_name"": ""apple-py-music"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""UNKNOWN"", ""package_version"": ""1.0"", ""package_homepage"": ""UNKNOWN"", ""num_of_python_files"": 2, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/apple-py-music-1.0_dump.json""}",{__init__.py},2025-06-28 14:22:52.901256+00,2025-06-28 14:22:52.901256+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,5445105c-4d93-4102-8d11-cb86a86c8150,0bffa6fe-80b8-4f69-9769-c3fcb0169065,1
benign,benign,130422,benign,argh-0.26.2.tar.gz,mampd-classification agent,"\""The package 'argh' is an argparse wrapper that simplifies the creation of command-line interfaces. It adheres to an open-source license (LGPL) and includes numerous utility functions, tests, and documentation comments. The code does not show any malicious intent, such as accessing sensitive information or modifying system files. Additionally, the package is actively maintained with emphasis on compatibility and usability for developers.",b234a742-6e1a-439e-b7b8-fb6a235b9eb5,argh,"{""model_type"": ""gemini"", ""author_name"": ""Andrey Mikhaylenko"", ""author_email"": ""neithere@gmail.com"", ""num_of_files"": 28, ""package_name"": ""argh"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""An unobtrusive argparse wrapper with natural syntax"", ""package_version"": ""0.26.2"", ""package_homepage"": ""http://github.com/neithere/argh/"", ""gemini_parse_error"": ""Invalid final_output content"", ""gemini_raw_response"": ""classification=<Classification.benign: 'benign'> justification=\""The package 'argh' is an argparse wrapper that simplifies the creation of command-line interfaces. It adheres to an open-source license (LGPL) and includes numerous utility functions, tests, and documentation comments. The code does not show any malicious intent, such as accessing sensitive information or modifying system files. Additionally, the package is actively maintained with emphasis on compatibility and usability for developers.\"" suspicious_files=['setup.py', 'compat.py', 'exceptions.py', 'utils.py', 'assembling.py', 'decorators.py', 'constants.py', 'interaction.py', 'helpers.py', 'io.py', '__init__.py', 'completion.py', 'dispatching.py', 'test_compat.py', 'test_integration.py', 'test_regressions.py', 'test_assembling.py', 'test_interaction.py', 'base.py', 'test_dispatching.py', 'test_decorators.py']"", ""num_of_python_files"": 21, ""package_description"": ""Argh: The Natural CLI"", ""available_python_files"": [""setup.py"", ""compat.py"", ""exceptions.py"", ""utils.py"", ""assembling.py"", ""decorators.py"", ""constants.py"", ""interaction.py"", ""helpers.py"", ""io.py"", ""__init__.py"", ""completion.py"", ""dispatching.py"", ""test_compat.py"", ""test_integration.py"", ""test_regressions.py"", ""test_assembling.py"", ""test_interaction.py"", ""base.py"", ""test_dispatching.py"", ""test_decorators.py""], ""package_formatted_path"": "".temp/plain/argh-0.26.2_dump.json"", ""gemini_parsed_classification"": null, ""gemini_parsed_suspicious_files"": null}",{},2025-07-01 19:48:34.506007+00,2025-07-01 19:48:34.506007+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,5d0ca35b-4bc3-4995-9160-eece39cb267f,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.26.2
malicious,malicious,61637,malicious,aryi-0.1.tar.gz,mampd-classification agent,"The package contains a significant amount of obfuscated code, indicated by the __pyarmor__ function and excessive bytecode, suggesting an intent to hide malicious functionality. Additionally, the general lack of meaningful imports and heavy obfuscation raises red flags about the package's purpose and safety",b1c22f0d-ba58-456f-b490-3a307d3b9bfa,aryi,"{""model_type"": ""gemini"", ""author_name"": ""sipher"", ""author_email"": ""xinftw@protonmail.com"", ""num_of_files"": 9, ""package_name"": ""aryi"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""aryi"", ""package_version"": ""0.1"", ""package_homepage"": ""https://github.com/siph-er"", ""gemini_parse_error"": ""Invalid final_output content"", ""gemini_raw_response"": ""classification=<Classification.malicious: 'malicious'> justification=\""The package contains a significant amount of obfuscated code, indicated by the __pyarmor__ function and excessive bytecode, suggesting an intent to hide malicious functionality. Additionally, the general lack of meaningful imports and heavy obfuscation raises red flags about the package's purpose and safety.\"" suspicious_files=['aryi.py']"", ""num_of_python_files"": 2, ""package_description"": ""#Optimise"", ""available_python_files"": [""setup.py"", ""aryi.py""], ""package_formatted_path"": "".temp/plain/aryi-0.1_dump.json"", ""gemini_parsed_classification"": null, ""gemini_parsed_suspicious_files"": null}",{'aryi.py'},2025-07-01 19:41:45.875819+00,2025-07-01 19:41:45.875819+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,8ab824db-d2fb-4a94-9ae8-717cf0d8896a,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.1
