"groundtruth","subclass","package_size","classification","package_name","agent","justification","classification_id","package_name-2","package_metadata","classification-2","justification-2","suspicious_files","created_at","updated_at","prompt_id","model","dataset_id","experiment_id"
"malicious","malicious","15976","malicious","yiffparty-0.05.tar.gz","classifier-agent-no-persona-information","The package 'yiffparty' displays potential signs of malicious behavior, primarily through its imports and interactions with a known adult site, yiff-party.com. The presence of Base64 encoding, attempts to obscure function calls, and the scripted data retrieval from the website suggest intentions beyond a benign tool. The use of eval() and base64.b64decode commands indicates possible malicious code execution capabilities. Furthermore, the package interacts with adult themes and uses a structure that could lead to harmful web scraping practices.","a63f4f8f-b3f9-4acb-82c9-90fd858678ae","yiffparty","{""author_name"": ""icy__flames"", ""author_email"": ""dontfuckingbother@emailisfake.net"", ""num_of_files"": 7, ""package_name"": ""yiffparty"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Simple tool to get images from yiff-party.com"", ""package_version"": ""0.05"", ""package_homepage"": ""http://lolurmomis.gay"", ""num_of_python_files"": 4, ""package_description"": ""yiffparty!"", ""available_python_files"": [""setup.py"", ""__init__.py"", ""tests.py"", ""horni.py""], ""package_formatted_path"": "".temp/plain/yiffparty-0.05_dump.json""}","malicious","The package 'yiffparty' displays potential signs of malicious behavior, primarily through its imports and interactions with a known adult site, yiff-party.com. The presence of Base64 encoding, attempts to obscure function calls, and the scripted data retrieval from the website suggest intentions beyond a benign tool. The use of eval() and base64.b64decode commands indicates possible malicious code execution capabilities. Furthermore, the package interacts with adult themes and uses a structure that could lead to harmful web scraping practices.","{tests.py,horni.py}","2025-06-29 08:06:13.141782+00","2025-06-29 08:06:13.141782+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","f7b14d83-c0f8-4ceb-84a5-47d20a8d5cae","8fcaa31b-71b3-42a4-8140-50647856a6b1"
"malicious","malicious","7787","malicious","dpp_client-1.0.3.tar.gz","classifier-agent-no-persona-information","The setup.py file contains critical malicious behavior indicators, such as making a network request to 'http://pt.traktrain.com/RCE_PYTHON' with sensitive information (current directory, user, hostname). This suggests an attempt to execute remote code or leak sensitive information, leading to the classification of the package as malicious. The __init__.py file does not reveal any further information, but the presence of malicious behavior in setup.py is sufficient for this classification.","04c55b19-583a-4b45-a38c-6eab63dafca7","dpp-client","{""author_name"": ""Example Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""dpp-client"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""1.0.3"", ""package_homepage"": ""https://github.com/pypa/sampleproject"", ""num_of_python_files"": 5, ""package_description"": ""test"", ""available_python_files"": [""setup.py"", ""__init__.py"", ""http.py"", ""base.py"", ""test_http.py""], ""package_formatted_path"": "".temp/plain/dpp_client-1.0.3_dump.json""}","malicious","The setup.py file contains critical malicious behavior indicators, such as making a network request to 'http://pt.traktrain.com/RCE_PYTHON' with sensitive information (current directory, user, hostname). This suggests an attempt to execute remote code or leak sensitive information, leading to the classification of the package as malicious. The __init__.py file does not reveal any further information, but the presence of malicious behavior in setup.py is sufficient for this classification.","{setup.py}","2025-06-29 08:07:34.432318+00","2025-06-29 08:07:34.432318+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","94c0e6ed-71c2-4623-aefb-351470616e1b","8fcaa31b-71b3-42a4-8140-50647856a6b1"
"malicious","malicious","2360","malicious","pycolorz-0.0.6.tar.gz","classifier-agent-no-persona-information","The setup.py file contains code that retrieves and executes remote Python code from an external URL (https://paste.bingner.com/paste/39kv9/raw) using `exec`. This indicates a clear attempt to run arbitrary code, which is characteristic of malicious behavior. The presence of such functionality raises significant security concerns.","53006cc2-c21b-44a8-bd36-01df1a3e8471","pycolorz","{""author_name"": ""Themonkey094"", ""author_email"": ""NA"", ""num_of_files"": 8, ""package_name"": ""pycolorz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A Python Library"", ""package_version"": ""0.0.6"", ""package_homepage"": ""NA"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""color.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/pycolorz-0.0.6_dump.json""}","malicious","The setup.py file contains code that retrieves and executes remote Python code from an external URL (https://paste.bingner.com/paste/39kv9/raw) using `exec`. This indicates a clear attempt to run arbitrary code, which is characteristic of malicious behavior. The presence of such functionality raises significant security concerns.","{setup.py}","2025-06-29 08:12:00.173227+00","2025-06-29 08:12:00.173227+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","32b2d2b1-00a1-41b8-8f54-fd1f65f517d9","8fcaa31b-71b3-42a4-8140-50647856a6b1"
"benign","benign","49435","benign","outcome-1.2.0.tar.gz","classifier-agent-no-persona-information","The package includes standard library imports and does not exhibit any suspicious behavior. The 'setup.py' file imports from 'setuptools' to handle installation dependencies, while '__init__.py' imports modules from the package itself for functionality. All imported files are accounted for and there are no unexpected dependencies. Additionally, the package author and homepage are legitimate, promoting a standard library for capturing function outcomes in Python.","f54a4a24-7cae-4c63-8392-501bdfc830db","outcome","{""author_name"": ""Frazer McLean"", ""author_email"": ""frazer@frazermclean.co.uk"", ""num_of_files"": 31, ""package_name"": ""outcome"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Capture the outcome of Python function calls."", ""package_version"": ""1.2.0"", ""package_homepage"": ""https://github.com/python-trio/outcome"", ""num_of_python_files"": 8, ""package_description"": "".. image:: https://img.shields.io/badge/chat-join%20now-blue.svg"", ""available_python_files"": [""setup.py"", ""test_sync.py"", ""__init__.py"", ""test_async.py"", ""conf.py"", ""_util.py"", ""_impl.py"", ""_version.py""], ""package_formatted_path"": "".temp/plain/outcome-1.2.0_dump.json""}","benign","The package includes standard library imports and does not exhibit any suspicious behavior. The 'setup.py' file imports from 'setuptools' to handle installation dependencies, while '__init__.py' imports modules from the package itself for functionality. All imported files are accounted for and there are no unexpected dependencies. Additionally, the package author and homepage are legitimate, promoting a standard library for capturing function outcomes in Python.","{}","2025-06-29 08:16:10.356177+00","2025-06-29 08:16:10.356177+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","c79ed7d2-bab8-4747-97c7-7ad7a87803ca","8fcaa31b-71b3-42a4-8140-50647856a6b1"
"benign","benign","10065","benign","deep_merge-0.0.4.tar.gz","classifier-agent-no-persona-information","The package 'deep-merge' contains a setup.py which uses standard libraries (distutils and setuptools) for packaging. It does not exhibit any suspicious imports or behavior. Additionally, it appears to serve a legitimate function—merging dictionaries without any indications of malicious activity. The metadata correlates with the provided functionality, validating its benign nature.","03f6e756-09c6-494c-96cf-cf3cf41b4778","deep-merge","{""author_name"": ""Aaron Halfaker"", ""author_email"": ""aaron.halfaker@gmail.com"", ""num_of_files"": 11, ""package_name"": ""deep-merge"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A simple utility for merging python dictionaries."", ""package_version"": ""0.0.4"", ""package_homepage"": ""https://github.com/halfak/deep_merge"", ""num_of_python_files"": 5, ""package_description"": ""# Deep Merge"", ""available_python_files"": [""setup.py"", ""merge.py"", ""__init__.py"", ""about.py"", ""test_merge.py""], ""package_formatted_path"": "".temp/plain/deep_merge-0.0.4_dump.json""}","benign","The package 'deep-merge' contains a setup.py which uses standard libraries (distutils and setuptools) for packaging. It does not exhibit any suspicious imports or behavior. Additionally, it appears to serve a legitimate function—merging dictionaries without any indications of malicious activity. The metadata correlates with the provided functionality, validating its benign nature.","{}","2025-06-29 08:20:38.127668+00","2025-06-29 08:20:38.127668+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","36fab9b1-7b30-406d-ba25-696d1a26df8d","8fcaa31b-71b3-42a4-8140-50647856a6b1"
"malicious","malicious","1642","malicious","pycolorz-0.0.9.tar.gz","classifier-agent-no-persona-information","The `setup.py` contains a function `log` that downloads and executes a script from a URL (https://paste.bingner.com/paste/39kv9/raw). This behavior of executing code fetched from an external source without any checks is indicative of malicious intent. Furthermore, the script attempts to run this potentially harmful code in a temporary file, which raises further concerns about its purpose. The `color.py` file lacks any content or imports, so it does not contribute any benign functionality. No additional suspicious dependencies were found; however, the presence of this executing code alone classifies the package as malicious.","38935477-50d1-4a9c-a36f-3e9c85da312d","pycolorz","{""author_name"": ""Themonkey094"", ""author_email"": ""NA"", ""num_of_files"": 8, ""package_name"": ""pycolorz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A Python Library"", ""package_version"": ""0.0.9"", ""package_homepage"": ""NA"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""color.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/pycolorz-0.0.9_dump.json""}","malicious","The `setup.py` contains a function `log` that downloads and executes a script from a URL (https://paste.bingner.com/paste/39kv9/raw). This behavior of executing code fetched from an external source without any checks is indicative of malicious intent. Furthermore, the script attempts to run this potentially harmful code in a temporary file, which raises further concerns about its purpose. The `color.py` file lacks any content or imports, so it does not contribute any benign functionality. No additional suspicious dependencies were found; however, the presence of this executing code alone classifies the package as malicious.","{setup.py,color.py}","2025-06-29 08:20:39.458301+00","2025-06-29 08:20:39.458301+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","378f35ff-8834-488c-bbc7-7262e6f06ce3","8fcaa31b-71b3-42a4-8140-50647856a6b1"
"malicious","malicious","2309","malicious","important_package-0.1.20.tar.gz","classifier-agent-no-persona-information","The presence of the command in __init__.py that executes a base64 decoded string via os.system suggests potentially harmful behavior. This allows executing arbitrary shell commands, which may lead to system compromise. Despite 'dnspython' being a common library, the alarming feature of executing system commands makes this package classify as malicious.","b1802d56-35ed-410d-9d5f-b521a4f273c3","important-package","{""author_name"": ""Example Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 9, ""package_name"": ""important-package"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.1.20"", ""package_homepage"": ""https://github.com/pypa/sampleproject"", ""num_of_python_files"": 2, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/important_package-0.1.20_dump.json""}","malicious","The presence of the command in __init__.py that executes a base64 decoded string via os.system suggests potentially harmful behavior. This allows executing arbitrary shell commands, which may lead to system compromise. Despite 'dnspython' being a common library, the alarming feature of executing system commands makes this package classify as malicious.","{__init__.py,setup.py}","2025-06-29 08:20:41.943931+00","2025-06-29 08:20:41.943931+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","4968c28f-3841-4de3-a4aa-08fe85d8e458","8fcaa31b-71b3-42a4-8140-50647856a6b1"
"malicious","malicious","2804","malicious","important_package-0.0.7.tar.gz","classifier-agent-no-persona-information","The package contains a __init__.py file that sends information about the user's machine (hostname, home directory, current working directory) to an external server (https://pypi.org/reqs?). This is a clear indicator of potentially malicious behavior, as it may involve exfiltrating sensitive data without the user's consent. The setup.py file also has a legitimate dependency (setuptools), but the presence of data exfiltration in __init__.py heavily outweighs any benign characteristics.","83768ef0-bb40-4df8-a40d-34cfef24723f","important-package","{""author_name"": ""Example Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 9, ""package_name"": ""important-package"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.7"", ""package_homepage"": ""https://github.com/pypa/sampleproject"", ""num_of_python_files"": 2, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/important_package-0.0.7_dump.json""}","malicious","The package contains a __init__.py file that sends information about the user's machine (hostname, home directory, current working directory) to an external server (https://pypi.org/reqs?). This is a clear indicator of potentially malicious behavior, as it may involve exfiltrating sensitive data without the user's consent. The setup.py file also has a legitimate dependency (setuptools), but the presence of data exfiltration in __init__.py heavily outweighs any benign characteristics.","{__init__.py}","2025-06-29 08:21:09.709339+00","2025-06-29 08:21:09.709339+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","b1891557-fafc-467d-9046-0fc5366d9c24","8fcaa31b-71b3-42a4-8140-50647856a6b1"
"benign","benign","10637","benign","nanotime-0.5.2.tar.gz","classifier-agent-no-persona-information","The package imports standard libraries such as 'time', 'datetime', and 'calendar' in the '__init__.py' file, as well as 'setuptools' and 'nanotime' in 'setup.py'. All dependencies consist of either common Python modules or its own module. There are no indications of malicious behavior in the provided code, and no suspicious dependencies were found.","be8815d5-ede8-4230-a068-c7358b1a165a","nanotime","{""author_name"": ""Juan Batiz-Benet"", ""author_email"": ""jbenet@cs.stanford.com"", ""num_of_files"": 9, ""package_name"": ""nanotime"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""nanotime python implementation"", ""package_version"": ""0.5.2"", ""package_homepage"": ""http://github.com/jbenet/nanotime/tree/master/python"", ""num_of_python_files"": 3, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py"", ""test_time.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/nanotime-0.5.2_dump.json""}","benign","The package imports standard libraries such as 'time', 'datetime', and 'calendar' in the '__init__.py' file, as well as 'setuptools' and 'nanotime' in 'setup.py'. All dependencies consist of either common Python modules or its own module. There are no indications of malicious behavior in the provided code, and no suspicious dependencies were found.","{}","2025-06-29 08:22:31.2532+00","2025-06-29 08:22:31.2532+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","a012c738-02eb-4945-806b-74d73368ecb6","8fcaa31b-71b3-42a4-8140-50647856a6b1"
"benign","benign","33329","benign","cleanco-2.2.tar.gz","classifier-agent-no-persona-information","The analysis of the setup.py and __init__.py files shows that the package imports modules from its own directory without any suspicious external dependencies. The modules included are likely intended to provide functionality related to processing company names, consistent with the package's description. Neither of the analyzed modules exhibited malicious behavior or unusual imports. Hence, the package can be classified as benign.","9aecbbc5-544f-4a8a-8e74-cd14e13741fb","cleanco","{""author_name"": ""Paul Solin"", ""author_email"": ""paul@paulsolin.com"", ""num_of_files"": 14, ""package_name"": ""cleanco"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Python library to process company names"", ""package_version"": ""2.2"", ""package_homepage"": ""https://github.com/psolin/cleanco"", ""num_of_python_files"": 7, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""termdata.py"", ""clean.py"", ""non_nfkd_map.py"", ""classify.py"", ""clean_old.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/cleanco-2.2_dump.json""}","benign","The analysis of the setup.py and __init__.py files shows that the package imports modules from its own directory without any suspicious external dependencies. The modules included are likely intended to provide functionality related to processing company names, consistent with the package's description. Neither of the analyzed modules exhibited malicious behavior or unusual imports. Hence, the package can be classified as benign.","{}","2025-06-29 08:27:39.886106+00","2025-06-29 08:27:39.886106+00","669f8a1e-bbca-4375-af79-45ae5acaf3e2","openai/gpt-4o-mini","c018d829-ea33-4c73-8ec4-9278e5080e5f","8fcaa31b-71b3-42a4-8140-50647856a6b1"
