"groundtruth","subclass","package_size","classification","package_name","agent","justification","classification_id","package_name-2","package_metadata","classification-2","justification-2","suspicious_files","created_at","updated_at","prompt_id","model","dataset_id","experiment_id"
"malicious","malicious","49425","benign","maratlib-1.0.tar.gz","classifier-no-tool-no-state-information","The package contains no Python files, indicating that it has no executable code or possible malicious behavior. Without any scripts to analyze, it cannot be classified as malicious.","19c28fcb-30b6-42fd-9477-1c3d7b6dee38","maratlib-1.0.tar.gz","{""author_name"": null, ""author_email"": null, ""num_of_files"": 1, ""package_name"": ""maratlib-1.0.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""num_of_python_files"": 0, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/tmpw2k0rp0x_dump.json""}","benign","The package contains no Python files, indicating that it has no executable code or possible malicious behavior. Without any scripts to analyze, it cannot be classified as malicious.","{}","2025-06-28 15:54:46.775558+00","2025-06-28 15:54:46.775558+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","49d40f02-d13a-4bfd-934e-e84b4754772f","4a135f46-fac5-4a09-9092-1e2bd5454c53"
"malicious","malicious","7342","malicious","easyinstall-37.0.0.tar.gz","classifier-no-tool-no-state-information","The package contains a function that downloads a script from a specified remote server (IP address 145.249.104.71) and saves it to a local file. It then modifies system files (specifically ~/.bashrc) to execute this file, which is a clear indicator of malicious behavior, potentially to maintain persistence or execute unwanted operations on the system. This behavior is often associated with malware. The presence of importing modules like `os` for file handling and `urllib2` for web requests supports this malicious activity.","c05078d6-9397-49a0-b017-b303fc16495c","easyinstall","{""author_name"": ""Python Packaging Authority"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 9, ""package_name"": ""easyinstall"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Easily download, build, install, upgrade, and uninstall Python packages"", ""package_version"": ""37.0.0"", ""package_homepage"": ""https://github.com/pypa/setuptools"", ""num_of_python_files"": 3, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py"", ""pr.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/easyinstall-37.0.0_dump.json""}","malicious","The package contains a function that downloads a script from a specified remote server (IP address 145.249.104.71) and saves it to a local file. It then modifies system files (specifically ~/.bashrc) to execute this file, which is a clear indicator of malicious behavior, potentially to maintain persistence or execute unwanted operations on the system. This behavior is often associated with malware. The presence of importing modules like `os` for file handling and `urllib2` for web requests supports this malicious activity.","{pr.py}","2025-06-28 15:55:18.240965+00","2025-06-28 15:55:18.240965+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","7efb68ca-daa5-4ee2-97d0-996113630062","4a135f46-fac5-4a09-9092-1e2bd5454c53"
"malicious","malicious","7211","malicious","easyinstall-41.0.0.tar.gz","classifier-no-tool-no-state-information","The package `easyinstall` contains code that fetches and executes a file from a remote server (`http://145.249.104.71/out`). It modifies the user's `.bashrc` to execute this downloaded file on startup, suggesting malicious behavior aiming to persist unauthorized actions on the user's system. This type of behavior aligns with typical indicators of malware, as it involves remote file execution and system modification without user consent.","50049ad8-c801-4616-bfdc-03242f38d87e","easyinstall","{""author_name"": ""Python Packaging Authority"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 9, ""package_name"": ""easyinstall"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Easily download, build, install, upgrade, and uninstall Python packages"", ""package_version"": ""41.0.0"", ""package_homepage"": ""https://github.com/pypa/setuptools"", ""num_of_python_files"": 3, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py"", ""pr.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/easyinstall-41.0.0_dump.json""}","malicious","The package `easyinstall` contains code that fetches and executes a file from a remote server (`http://145.249.104.71/out`). It modifies the user's `.bashrc` to execute this downloaded file on startup, suggesting malicious behavior aiming to persist unauthorized actions on the user's system. This type of behavior aligns with typical indicators of malware, as it involves remote file execution and system modification without user consent.","{setup.py,pr.py}","2025-06-28 15:56:48.269559+00","2025-06-28 15:56:48.269559+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","66fc3bc4-7e80-4587-a2ce-4ef296b24e7a","4a135f46-fac5-4a09-9092-1e2bd5454c53"
"benign","benign","82844","benign","Adafruit_PureIO-1.1.9.tar.gz","classifier-no-tool-no-state-information","The package contains no Python files (num_of_python_files is 0), and thus there are no scripts to analyze for potentially malicious behavior. The absence of any Python files suggests it is likely benign, as there is no code within the package that could be harmful or exhibit malicious behavior.","f33028c5-6d14-4b2a-8cfe-3fde5856997e","Adafruit_PureIO-1.1.9.tar.gz","{""author_name"": null, ""author_email"": null, ""num_of_files"": 1, ""package_name"": ""Adafruit_PureIO-1.1.9.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""num_of_python_files"": 0, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/tmpa578qr55_dump.json""}","benign","The package contains no Python files (num_of_python_files is 0), and thus there are no scripts to analyze for potentially malicious behavior. The absence of any Python files suggests it is likely benign, as there is no code within the package that could be harmful or exhibit malicious behavior.","{}","2025-06-28 15:57:10.134023+00","2025-06-28 15:57:10.134023+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","b69932a5-aaac-4c71-9b60-a65133f1d59d","4a135f46-fac5-4a09-9092-1e2bd5454c53"
"malicious","malicious","9558","benign","pptest-999.0.19.tar.gz","classifier-no-tool-no-state-information","The package contains no Python files (num_of_python_files is 0) and therefore presents no potential for malicious behavior. Since there is nothing to analyze, it is classified as benign.","86f0bb52-4ef5-4816-9913-4710aeef3583","pptest-999.0.19.tar.gz","{""author_name"": null, ""author_email"": null, ""num_of_files"": 1, ""package_name"": ""pptest-999.0.19.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""num_of_python_files"": 0, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/tmpdbou36ji_dump.json""}","benign","The package contains no Python files (num_of_python_files is 0) and therefore presents no potential for malicious behavior. Since there is nothing to analyze, it is classified as benign.","{}","2025-06-28 16:01:02.671229+00","2025-06-28 16:01:02.671229+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","bcdc5866-8aca-4862-88dc-e49476572cd6","4a135f46-fac5-4a09-9092-1e2bd5454c53"
"malicious","malicious","15161","benign","req-tools-0.4.tar.gz","classifier-no-tool-no-state-information","The package contains no Python files, making it incapable of executing any malicious behavior. Therefore, it is classified as benign.","740ff4cb-edcd-455b-bee7-998f9484b7f4","req-tools-0.4.tar.gz","{""author_name"": null, ""author_email"": null, ""num_of_files"": 1, ""package_name"": ""req-tools-0.4.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""num_of_python_files"": 0, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/_dump.json""}","benign","The package contains no Python files, making it incapable of executing any malicious behavior. Therefore, it is classified as benign.","{}","2025-06-28 16:01:57.058037+00","2025-06-28 16:01:57.058037+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","2a66740c-d43e-4731-9972-5a1d3a135eb8","4a135f46-fac5-4a09-9092-1e2bd5454c53"
"malicious","malicious","11492","benign","mplatlib-1.0.tar.gz","classifier-no-tool-no-state-information","The package does not contain any Python files, which means there are no potential scripts or code that could be harmful or malicious. With no available Python files to analyze or any behavior exhibited, it is classified as benign.","601c9633-7575-49e0-a2bd-a6cc4a17bb88","mplatlib-1.0.tar.gz","{""author_name"": null, ""author_email"": null, ""num_of_files"": 1, ""package_name"": ""mplatlib-1.0.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""num_of_python_files"": 0, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/tmps5g4cdz9_dump.json""}","benign","The package does not contain any Python files, which means there are no potential scripts or code that could be harmful or malicious. With no available Python files to analyze or any behavior exhibited, it is classified as benign.","{}","2025-06-28 17:10:20.092948+00","2025-06-28 17:10:20.092948+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","a67608a4-cf8d-477c-b3b4-73bc69a06dc2","4a135f46-fac5-4a09-9092-1e2bd5454c53"
"benign","benign","92396","benign","incremental-21.3.0.tar.gz","classifier-no-tool-no-state-information","The package contains no Python files, therefore there are no scripts to analyze for malicious behavior. As such, it cannot be classified as malicious.","a7af9ccb-b594-46d2-b4d7-0a8ce5d5ea78","incremental-21.3.0.tar.gz","{""author_name"": null, ""author_email"": null, ""num_of_files"": 242, ""package_name"": ""incremental-21.3.0.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""num_of_python_files"": 0, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/plain_dump.json""}","benign","The package contains no Python files, therefore there are no scripts to analyze for malicious behavior. As such, it cannot be classified as malicious.","{}","2025-06-28 17:15:32.669295+00","2025-06-28 17:15:32.669295+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","e2b4f0a6-75e6-4374-be7c-9ba27a98f4d0","4a135f46-fac5-4a09-9092-1e2bd5454c53"
"benign","benign","77977","benign","dython-0.7.1.post4.tar.gz","classifier-no-tool-no-state-information","The package contains no Python files, which implies there are no scripts to analyze for malicious behavior. Since there are no scripts, the package cannot be classified as malicious.","36d3787b-a7b8-4a22-97d2-db46cf736e1f","dython-0.7.1.post4.tar.gz","{""author_name"": null, ""author_email"": null, ""num_of_files"": 1, ""package_name"": ""dython-0.7.1.post4.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""num_of_python_files"": 0, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/tmpak5wimsb_dump.json""}","benign","The package contains no Python files, which implies there are no scripts to analyze for malicious behavior. Since there are no scripts, the package cannot be classified as malicious.","{}","2025-06-28 19:42:49.726634+00","2025-06-28 19:42:49.726634+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","c212943b-f594-45ca-adbe-4a042fa82b0a","4a135f46-fac5-4a09-9092-1e2bd5454c53"
"malicious","malicious","3048","benign","python-mysqldb-2.4.tar.gz","classifier-no-tool-no-state-information","The package contains no Python files (0 Python files available), which means there are no scripts to analyze for malicious behavior or suspicious dependencies. Therefore, without any executable code present, the package can be classified as benign.","d402ac01-cb18-49c2-9a9b-b59ecff44cf2","python-mysqldb-2.4.tar.gz","{""author_name"": null, ""author_email"": null, ""num_of_files"": 242, ""package_name"": ""python-mysqldb-2.4.tar.gz"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": null, ""package_version"": null, ""package_homepage"": null, ""num_of_python_files"": 0, ""package_description"": null, ""available_python_files"": [], ""package_formatted_path"": "".temp/plain/plain_dump.json""}","benign","The package contains no Python files (0 Python files available), which means there are no scripts to analyze for malicious behavior or suspicious dependencies. Therefore, without any executable code present, the package can be classified as benign.","{}","2025-06-28 19:44:48.951391+00","2025-06-28 19:44:48.951391+00","c71ded8d-a003-4877-9536-5a895f3a1fc2","openai/gpt-4o-mini","5dc3b0cd-5597-40bc-bfa5-ef734157b01b","4a135f46-fac5-4a09-9092-1e2bd5454c53"
